genre,definition
pop,"['Pop music', 'music genre', 'genre popular', 'popular music', 'music originated', 'originated modern', 'modern form', 'form United', 'United States', 'States United', 'United The', 'The terms', 'terms popular', 'popular music', 'music pop', 'pop music', 'music describes', 'describes music', 'music popular', 'popular includes', 'includes disparate', 'disparate During', 'During pop', 'pop music', 'music encompassed', 'encompassed rock', 'rock roll', 'roll styles', 'styles Rock', 'Rock pop', 'pop music', 'music remained', 'remained roughly', 'roughly synonymous', 'synonymous late', 'late pop', 'pop associated', 'associated music', 'music music', 'music appears', 'appears record', 'record charts', 'charts considered', 'considered pop', 'pop genre', 'genre distinguished', 'distinguished chart', 'chart Identifying', 'Identifying factors', 'factors usually', 'usually include', 'include repeated', 'repeated choruses', 'choruses short', 'short songs', 'songs written', 'written basic', 'basic format', 'format rhythms', 'rhythms tempos', 'tempos easily', 'easily danced', 'danced Much', 'Much pop', 'pop music', 'music borrows', 'borrows elements', 'elements styles', 'styles urban', 'urban contemporary']"
dance pop,"['popular music', 'music subgenre', 'subgenre originated', 'originated late', 'late early', 'early It', 'It generally', 'generally uptempo', 'uptempo music', 'music intended', 'intended nightclubs', 'nightclubs intention', 'intention danceable', 'danceable suitable', 'suitable contemporary', 'contemporary hit', 'hit Developing', 'Developing combination', 'combination dance', 'dance pop', 'pop influences', 'influences generally', 'generally characterised', 'characterised strong', 'strong beats', 'beats uncomplicated', 'uncomplicated song', 'song structures', 'structures generally', 'generally similar', 'similar pop', 'pop music', 'music dance', 'dance emphasis', 'emphasis melody', 'melody catchy', 'catchy The', 'The tends', 'tends despite', 'despite notable', 'notable highly', 'highly having', 'having borrowed', 'borrowed influences', 'influences varied', 'varied artists', 'artists Such', 'Such include', 'include contemporary', 'contemporary new', 'new jack', 'jack funk', 'funk pop', 'pop popular', 'popular mainstream', 'mainstream style', 'style music', 'music numerous', 'numerous artists', 'artists groups', 'groups perform', 'perform Notable', 'Notable artists', 'artists include', 'include Britney', 'Britney Kylie', 'Kylie Christina', 'Christina Spice', 'Spice Paula', 'Paula Backstreet', 'Backstreet Michael', 'Michael Jennifer', 'Jennifer Janet', 'Janet Katy', 'Katy Lady', 'Lady Years', 'Years Justin', 'Justin Ava']"
rap,"['Hip hop', 'hop music', 'music known', 'known rap', 'rap genre', 'genre popular', 'popular music', 'music originated', 'originated New', 'New York', 'York City', 'City It', 'It consists', 'consists stylized', 'stylized rhythmic', 'rhythmic music', 'music built', 'built drum', 'drum commonly', 'commonly accompanies', 'accompanies rhythmic', 'rhythmic rhyming', 'rhyming speech', 'speech It', 'It developed', 'developed hip', 'hip hop', 'hop subculture', 'subculture defined', 'defined key', 'key stylistic', 'stylistic break', 'break graffiti', 'graffiti Other', 'Other elements', 'elements include', 'include sampling', 'sampling beats', 'beats bass', 'bass lines', 'lines records', 'records synthesized', 'synthesized beats', 'beats rhythmic', 'rhythmic While', 'While refer', 'refer solely', 'solely properly', 'properly denotes', 'denotes practice', 'practice entire', 'entire The', 'The term', 'term hip', 'hip hop', 'hop music', 'music synonymously', 'synonymously term', 'term rap', 'rap rapping', 'rapping required', 'required component', 'component hip', 'hip hop', 'hop genre', 'genre incorporate', 'incorporate elements', 'elements hip', 'hip hop', 'hop including', 'including instrumental', 'instrumental hop', 'hop musical', 'musical genre', 'genre culture', 'culture formed', 'formed block', 'block parties', 'parties increasingly', 'increasingly popular', 'popular New', 'New York', 'York particularly', 'particularly African', 'African American', 'American youth', 'youth residing', 'residing At', 'At block', 'block DJs', 'DJs played', 'played percussive', 'percussive breaks', 'breaks popular', 'popular songs', 'songs turntables', 'turntables DJ', 'DJ mixer', 'mixer able', 'able play', 'play breaks', 'breaks copies', 'copies alternating', 'alternating extending', 'extending Hip', 'Hip early', 'early evolution', 'evolution occurred', 'occurred sampling', 'sampling technology', 'technology drum', 'drum machines', 'machines widely', 'widely available', 'available Turntablist', 'Turntablist techniques', 'techniques scratching', 'scratching beatmatching', 'beatmatching developed', 'developed Rapping', 'Rapping developed', 'developed vocal', 'vocal style', 'style artist', 'artist speaks', 'speaks chants', 'chants rhythmically', 'rhythmically instrumental', 'instrumental synthesized', 'synthesized hop', 'hop music', 'music officially', 'officially recorded', 'recorded play', 'play radio', 'radio television', 'television largely', 'largely poverty', 'poverty birth', 'birth lack', 'lack acceptance', 'acceptance outside', 'outside ghetto', 'ghetto Old', 'Old school', 'school hip', 'hip hop', 'hop mainstream', 'mainstream wave', 'wave marked', 'marked disco', 'disco influence', 'influence The', 'The marked', 'marked diversification', 'diversification hip', 'hip hop', 'hop genre', 'genre developed', 'developed complex', 'complex styles', 'styles spread', 'spread New', 'New school', 'school hip', 'hip hop', 'hop second', 'second marked', 'marked electro', 'electro led', 'led golden', 'golden age', 'age hip', 'hip innovative', 'innovative period', 'period developed', 'developed hip', 'hip album', 'album The', 'The gangsta', 'gangsta rap', 'rap focused', 'focused violent', 'violent lifestyles', 'lifestyles impoverished', 'impoverished conditions', 'conditions African', 'African American', 'American gained', 'gained popularity', 'popularity West', 'West Coast', 'Coast hip', 'hip hop', 'hop dominated', 'dominated East', 'East Coast', 'Coast hip', 'hip hop', 'hop dominated', 'dominated jazz', 'jazz alternative', 'alternative hip', 'hip hardcore', 'hardcore Hip', 'Hip hop', 'hop continued', 'continued diversify', 'diversify time', 'time regional', 'regional styles', 'styles Southern', 'Southern rap', 'rap Atlanta', 'Atlanta hip', 'hip Hip', 'Hip hop', 'hop genre', 'genre music', 'music genre', 'genre popularity', 'popularity hip', 'hip hop', 'hop music', 'music continued', 'continued late', 'late hip', 'hip hop', 'hop influences', 'influences increasingly', 'increasingly finding', 'finding way', 'way genres', 'genres popular', 'popular neo', 'neo nu', 'nu The', 'The United', 'United States', 'States saw', 'saw success', 'success regional', 'regional styles', 'styles Southern', 'Southern genre', 'genre emphasized', 'emphasized beats', 'beats music', 'music alternative', 'alternative hip', 'hip hop', 'hop began', 'began secure', 'secure place', 'place crossover', 'crossover success', 'success During', 'During late', 'late early', 'early rappers', 'rappers able', 'able build', 'build following', 'following online', 'online methods', 'methods music', 'music social', 'social media', 'media mainstream', 'mainstream hip', 'hip hop', 'hop took', 'took sensitive', 'sensitive direction', 'direction following', 'following commercial', 'commercial decline', 'decline gangsta', 'gangsta The', 'The trap', 'trap mumble', 'mumble rap', 'rap subgenres', 'subgenres popular', 'popular form', 'form hip', 'hip hop', 'hop early', 'early In', 'In rock', 'rock music', 'music usurped', 'usurped hip', 'hip hop', 'hop popular', 'popular genre', 'genre United']"
rock,"['Rock music', 'music broad', 'broad genre', 'genre popular', 'popular music', 'music originated', 'originated United', 'United States', 'States late', 'late early', 'early developing', 'developing range', 'range different', 'different styles', 'styles particularly', 'particularly United', 'United States', 'States United', 'United It', 'It roots', 'roots rock', 'rock style', 'style drew', 'drew directly', 'directly blues', 'blues rhythm', 'rhythm blues', 'blues genres', 'genres music', 'music country', 'country Rock', 'Rock drew', 'drew strongly', 'strongly number', 'number genres', 'genres electric', 'electric blues', 'blues incorporated', 'incorporated influences', 'influences musical', 'musical For', 'For rock', 'rock centered', 'centered electric', 'electric usually', 'usually rock', 'rock group', 'group electric', 'electric bass', 'bass rock', 'rock music', 'music time', 'time signature', 'signature genre', 'genre extremely', 'extremely Like', 'Like pop', 'pop lyrics', 'lyrics stress', 'stress romantic', 'romantic love', 'love address', 'address wide', 'wide variety', 'variety themes', 'themes frequently', 'frequently social', 'social musicians', 'musicians began', 'began advance', 'advance album', 'album ahead', 'ahead single', 'single dominant', 'dominant form', 'form recorded', 'recorded music', 'music expression', 'expression Beatles', 'Beatles forefront', 'forefront Their', 'Their contributions', 'contributions lent', 'lent genre', 'genre cultural', 'cultural legitimacy', 'legitimacy mainstream', 'mainstream initiated', 'initiated album', 'album era', 'era music', 'music industry', 'industry By', 'By late', 'late number', 'number distinct', 'distinct rock', 'rock music', 'music subgenres', 'subgenres including', 'including hybrids', 'hybrids like', 'like blues', 'blues folk', 'folk country', 'country southern', 'southern raga', 'raga jazz', 'jazz contributed', 'contributed development', 'development psychedelic', 'psychedelic influenced', 'influenced countercultural', 'countercultural psychedelic', 'psychedelic hippie', 'hippie New', 'New genres', 'genres emerged', 'emerged included', 'included progressive', 'progressive extended', 'extended artistic', 'artistic glam', 'glam highlighted', 'highlighted showmanship', 'showmanship visual', 'visual diverse', 'diverse enduring', 'enduring subgenre', 'subgenre heavy', 'heavy emphasized', 'emphasized In', 'In second', 'second half', 'half punk', 'punk rock', 'rock reacted', 'reacted producing', 'producing energetic', 'energetic social', 'social political', 'political Punk', 'Punk influence', 'influence new', 'new eventually', 'eventually alternative', 'alternative alternative', 'alternative rock', 'rock began', 'began dominate', 'dominate rock', 'rock music', 'music break', 'break mainstream', 'mainstream form', 'form indie', 'indie Further', 'Further fusion', 'fusion subgenres', 'subgenres including', 'including pop', 'pop electronic', 'electronic rap', 'rap rap', 'rap conscious', 'conscious attempts', 'attempts revisit', 'revisit including', 'including garage', 'garage revivals', 'revivals The', 'The saw', 'saw slow', 'slow decline', 'decline rock', 'rock mainstream', 'mainstream popularity', 'popularity cultural', 'cultural hip', 'hip hop', 'hop surpassing', 'surpassing popular', 'popular genre', 'genre United', 'United embodied', 'embodied served', 'served vehicle', 'vehicle cultural', 'cultural social', 'social leading', 'leading major', 'major subcultures', 'subcultures including', 'including mods', 'mods rockers', 'rockers United', 'United Kingdom', 'Kingdom hippie', 'hippie counterculture', 'counterculture spread', 'spread San', 'San Francisco', 'Francisco US', 'US punk', 'punk culture', 'culture spawned', 'spawned emo', 'emo Inheriting', 'Inheriting folk', 'folk tradition', 'tradition protest', 'protest rock', 'rock music', 'music associated', 'associated political', 'political activism', 'activism changes', 'changes social', 'social attitudes', 'attitudes drug', 'drug seen', 'seen expression', 'expression youth', 'youth revolt', 'revolt adult', 'adult consumerism', 'consumerism At', 'At commercially', 'commercially highly', 'highly leading', 'leading charges', 'charges selling']"
hip hop,"['Hip hop', 'hop music', 'music known', 'known rap', 'rap genre', 'genre popular', 'popular music', 'music originated', 'originated New', 'New York', 'York City', 'City It', 'It consists', 'consists stylized', 'stylized rhythmic', 'rhythmic music', 'music built', 'built drum', 'drum commonly', 'commonly accompanies', 'accompanies rhythmic', 'rhythmic rhyming', 'rhyming speech', 'speech It', 'It developed', 'developed hip', 'hip hop', 'hop subculture', 'subculture defined', 'defined key', 'key stylistic', 'stylistic break', 'break graffiti', 'graffiti Other', 'Other elements', 'elements include', 'include sampling', 'sampling beats', 'beats bass', 'bass lines', 'lines records', 'records synthesized', 'synthesized beats', 'beats rhythmic', 'rhythmic While', 'While refer', 'refer solely', 'solely properly', 'properly denotes', 'denotes practice', 'practice entire', 'entire The', 'The term', 'term hip', 'hip hop', 'hop music', 'music synonymously', 'synonymously term', 'term rap', 'rap rapping', 'rapping required', 'required component', 'component hip', 'hip hop', 'hop genre', 'genre incorporate', 'incorporate elements', 'elements hip', 'hip hop', 'hop including', 'including instrumental', 'instrumental hop', 'hop musical', 'musical genre', 'genre culture', 'culture formed', 'formed block', 'block parties', 'parties increasingly', 'increasingly popular', 'popular New', 'New York', 'York particularly', 'particularly African', 'African American', 'American youth', 'youth residing', 'residing At', 'At block', 'block DJs', 'DJs played', 'played percussive', 'percussive breaks', 'breaks popular', 'popular songs', 'songs turntables', 'turntables DJ', 'DJ mixer', 'mixer able', 'able play', 'play breaks', 'breaks copies', 'copies alternating', 'alternating extending', 'extending Hip', 'Hip early', 'early evolution', 'evolution occurred', 'occurred sampling', 'sampling technology', 'technology drum', 'drum machines', 'machines widely', 'widely available', 'available Turntablist', 'Turntablist techniques', 'techniques scratching', 'scratching beatmatching', 'beatmatching developed', 'developed Rapping', 'Rapping developed', 'developed vocal', 'vocal style', 'style artist', 'artist speaks', 'speaks chants', 'chants rhythmically', 'rhythmically instrumental', 'instrumental synthesized', 'synthesized hop', 'hop music', 'music officially', 'officially recorded', 'recorded play', 'play radio', 'radio television', 'television largely', 'largely poverty', 'poverty birth', 'birth lack', 'lack acceptance', 'acceptance outside', 'outside ghetto', 'ghetto Old', 'Old school', 'school hip', 'hip hop', 'hop mainstream', 'mainstream wave', 'wave marked', 'marked disco', 'disco influence', 'influence The', 'The marked', 'marked diversification', 'diversification hip', 'hip hop', 'hop genre', 'genre developed', 'developed complex', 'complex styles', 'styles spread', 'spread New', 'New school', 'school hip', 'hip hop', 'hop second', 'second marked', 'marked electro', 'electro led', 'led golden', 'golden age', 'age hip', 'hip innovative', 'innovative period', 'period developed', 'developed hip', 'hip album', 'album The', 'The gangsta', 'gangsta rap', 'rap focused', 'focused violent', 'violent lifestyles', 'lifestyles impoverished', 'impoverished conditions', 'conditions African', 'African American', 'American gained', 'gained popularity', 'popularity West', 'West Coast', 'Coast hip', 'hip hop', 'hop dominated', 'dominated East', 'East Coast', 'Coast hip', 'hip hop', 'hop dominated', 'dominated jazz', 'jazz alternative', 'alternative hip', 'hip hardcore', 'hardcore Hip', 'Hip hop', 'hop continued', 'continued diversify', 'diversify time', 'time regional', 'regional styles', 'styles Southern', 'Southern rap', 'rap Atlanta', 'Atlanta hip', 'hip Hip', 'Hip hop', 'hop genre', 'genre music', 'music genre', 'genre popularity', 'popularity hip', 'hip hop', 'hop music', 'music continued', 'continued late', 'late hip', 'hip hop', 'hop influences', 'influences increasingly', 'increasingly finding', 'finding way', 'way genres', 'genres popular', 'popular neo', 'neo nu', 'nu The', 'The United', 'United States', 'States saw', 'saw success', 'success regional', 'regional styles', 'styles Southern', 'Southern genre', 'genre emphasized', 'emphasized beats', 'beats music', 'music alternative', 'alternative hip', 'hip hop', 'hop began', 'began secure', 'secure place', 'place crossover', 'crossover success', 'success During', 'During late', 'late early', 'early rappers', 'rappers able', 'able build', 'build following', 'following online', 'online methods', 'methods music', 'music social', 'social media', 'media mainstream', 'mainstream hip', 'hip hop', 'hop took', 'took sensitive', 'sensitive direction', 'direction following', 'following commercial', 'commercial decline', 'decline gangsta', 'gangsta The', 'The trap', 'trap mumble', 'mumble rap', 'rap subgenres', 'subgenres popular', 'popular form', 'form hip', 'hip hop', 'hop early', 'early In', 'In rock', 'rock music', 'music usurped', 'usurped hip', 'hip hop', 'hop popular', 'popular genre', 'genre United']"
trap latino,[]
pop rap,"['Pop rap', 'rap known', 'known pop', 'pop hip', 'hip melodic', 'melodic melodic', 'melodic genre', 'genre music', 'music fusing', 'fusing lyricism', 'lyricism hip', 'hip hop', 'hop music', 'music pop', 'pop preference', 'preference melodious', 'melodious vocals', 'vocals catchy', 'catchy This', 'This genre', 'genre gained', 'gained mainstream', 'mainstream popularity', 'popularity influences', 'influences roots', 'roots pop', 'pop rap', 'rap trace', 'trace hip', 'hip hop', 'hop artists', 'artists LL', 'LL Cool', 'Cool Beastie', 'Beastie The', 'The lyrics', 'lyrics choruses', 'choruses similar', 'similar heard', 'heard pop']"
reggaeton,"['Reggaeton known', 'known reggaetón', 'reggaetón reguetón', 'reguetón music', 'music style', 'style Puerto', 'Puerto Rico', 'Rico influenced', 'influenced Reggae', 'Reggae en', 'en Español', 'Español Hip', 'Hip Bomba', 'Bomba It', 'It evolved', 'evolved dancehall', 'dancehall influenced', 'influenced American', 'American hip', 'hip Latin', 'Latin Caribbean', 'Caribbean Vocals', 'Vocals include', 'include rapping', 'rapping typically', 'typically regarded', 'regarded popular', 'popular music', 'music genres', 'genres including', 'including Puerto', 'Puerto Dominican', 'Dominican Over', 'Over genre', 'genre seen', 'seen increased', 'increased popularity', 'popularity Latin', 'Latin acceptance', 'acceptance mainstream', 'mainstream Western']"
edm,['EDM refer']
modern rock,"['Modern rock', 'rock umbrella', 'umbrella term', 'term describe', 'describe rock', 'rock music', 'music found', 'found college', 'college rock', 'rock radio', 'radio Some', 'Some radio', 'radio stations', 'stations use', 'use term', 'term distinguish', 'distinguish classic', 'classic based', 'based rock']"
