genre,definition
pop,"Pop music genre popular music originated modern form mid-1950s United States United Kingdom . terms popular music pop music interchangeably , describes music popular includes disparate styles . 1950s 1960s , pop music encompassed rock roll youth - oriented styles influenced . Rock pop music remained roughly synonymous late 1960s , pop associated music commercial , ephemeral , accessible . 
 music appears record charts considered pop music , genre distinguished chart music . Identifying factors usually include repeated choruses hooks , short medium - length songs written basic format ( verse - chorus structure ) , rhythms tempos easily danced . pop music borrows elements styles rock , urban contemporary ( R&B / hip - hop ) , dance , Latin , country . 

"
dance pop,"Dance - pop popular music subgenre originated late 1970s early 1980s . generally uptempo music intended nightclubs intention danceable suitable contemporary hit radio . Developing combination dance pop influences disco , post - disco synth - pop , generally characterised strong beats easy , uncomplicated song structures generally similar pop music free - form dance genre , emphasis melody catchy tunes . genre , , tends producer - driven , despite notable exceptions . Dance - pop highly eclectic , having borrowed influences genres , varied producers , artists periods . include contemporary R&B , house , trance , techno , electropop , new jack swing , funk pop rock . 
 Dance - pop popular mainstream style music numerous artists groups perform genre . Notable artists include Cher , Madonna , Britney Spears , Kylie Minogue , Christina Aguilera , Spice Girls , Paula Abdul , Backstreet Boys , Michael Jackson , NSYNC , Jennifer Lopez , Janet Jackson , Rihanna , Katy Perry , Lady Gaga , Years & Years , Justin Bieber , Ava Max , ."
rap,"Hip hop music hip - hop music , known rap music , genre popular music originated New York City 1970s . consists stylized rhythmic music ( usually built drum beats ) commonly accompanies rapping , rhythmic rhyming speech chanted . developed hip hop culture , subculture defined key stylistic elements : MCing / rapping , DJing / scratching turntables , break dancing , graffiti writing . elements include sampling beats bass lines records ( synthesized beats sounds ) , rhythmic beatboxing . refer solely rapping , "" hip hop "" properly denotes practice entire subculture . term hip hop music synonymously term rap music , rapping required component hip hop music ; genre incorporate elements hip hop culture , including DJing , turntablism , scratching , beatboxing , instrumental tracks . Hip hop musical genre culture formed 1970s block parties increasingly popular New York City , particularly African American youth residing Bronx . block parties , DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies record , alternating extending "" break "" . Hip hop early evolution occurred sampling technology drum machines widely available affordable . Turntablist techniques scratching beatmatching developed breaks . Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized beat . 
 Hip hop music officially recorded play radio television 1979 , largely poverty genre birth lack acceptance outside ghetto neighborhoods . Old school hip hop mainstream wave genre , marked disco influence party - oriented lyrics . 1980s marked diversification hip hop genre developed complex styles spread world . New school hip hop genre second wave , marked electro sound , led golden age hip hop , innovative period mid-1980s mid-1990s developed hip hop album era . gangsta rap subgenre , focused violent lifestyles impoverished conditions inner - city African American youth , gained popularity time . West Coast hip hop dominated G - funk early - mid 1990s , East Coast hip hop dominated jazz rap , alternative hip hop , hardcore rap . Hip hop continued diversify time regional styles emerging , Southern rap Atlanta hip hop . Hip hop best - selling genre mid-1990s - selling music genre 1999 . 
 popularity hip hop music continued late 1990s early-2000s "" bling era "" hip hop influences increasingly finding way genres popular music , neo soul , nu metal , R&B. United States saw success regional styles crunk , Southern genre emphasized beats music lyrics , alternative hip hop began secure place mainstream , crossover success artists . late 2000s early 2010s "" blog era "" , rappers able build following online methods music distribution , social media blogs , mainstream hip hop took melodic , sensitive direction following commercial decline gangsta rap . trap mumble rap subgenres popular form hip hop mid - late 2010s early 2020s . 2017 , rock music usurped hip hop popular genre United States ."
rock,"Rock music broad genre popular music originated "" rock roll "" United States late 1940s early 1950s , developing range different styles mid-1960s later , particularly United States United Kingdom . roots 1940s 1950s rock roll , style drew directly blues rhythm blues genres African - American music country music . Rock drew strongly number genres electric blues folk , incorporated influences jazz , classical , musical styles . instrumentation , rock centered electric guitar , usually rock group electric bass guitar , drums , singers . Usually , rock song - based music 44 time signature verse – chorus form , genre extremely diverse . Like pop music , lyrics stress romantic love address wide variety themes frequently social political . 
 Rock musicians mid-1960s began advance album ahead single dominant form recorded music expression consumption , Beatles forefront development . contributions lent genre cultural legitimacy mainstream initiated rock - informed album era music industry decades . late 1960s "" classic rock "" period , number distinct rock music subgenres emerged , including hybrids like blues rock , folk rock , country rock , southern rock , raga rock , jazz rock , contributed development psychedelic rock , influenced countercultural psychedelic hippie scene . New genres emerged included progressive rock , extended artistic elements , glam rock , highlighted showmanship visual style , diverse enduring subgenre heavy metal , emphasized volume , power , speed . second half 1970s , punk rock reacted producing stripped - , energetic social political critiques . Punk influence 1980s new wave , post - punk eventually alternative rock . 
 1990s , alternative rock began dominate rock music break mainstream form grunge , Britpop , indie rock . fusion subgenres emerged , including pop punk , electronic rock , rap rock , rap metal , conscious attempts revisit rock history , including garage rock / post - punk techno - pop revivals 2000s . 2010s saw slow decline rock music mainstream popularity cultural relevancy , hip hop surpassing popular genre United States . 

 Rock embodied served vehicle cultural social movements , leading major subcultures including mods rockers United Kingdom hippie counterculture spread San Francisco 1960s . Similarly , 1970s punk culture spawned goth , punk , emo subcultures . Inheriting folk tradition protest song , rock music associated political activism changes social attitudes race , sex , drug use , seen expression youth revolt adult consumerism conformity . time , commercially highly successful , leading charges selling ."
hip hop,"Hip hop music hip - hop music , known rap music , genre popular music originated New York City 1970s . consists stylized rhythmic music ( usually built drum beats ) commonly accompanies rapping , rhythmic rhyming speech chanted . developed hip hop culture , subculture defined key stylistic elements : MCing / rapping , DJing / scratching turntables , break dancing , graffiti writing . elements include sampling beats bass lines records ( synthesized beats sounds ) , rhythmic beatboxing . refer solely rapping , "" hip hop "" properly denotes practice entire subculture . term hip hop music synonymously term rap music , rapping required component hip hop music ; genre incorporate elements hip hop culture , including DJing , turntablism , scratching , beatboxing , instrumental tracks . Hip hop musical genre culture formed 1970s block parties increasingly popular New York City , particularly African American youth residing Bronx . block parties , DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies record , alternating extending "" break "" . Hip hop early evolution occurred sampling technology drum machines widely available affordable . Turntablist techniques scratching beatmatching developed breaks . Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized beat . 
 Hip hop music officially recorded play radio television 1979 , largely poverty genre birth lack acceptance outside ghetto neighborhoods . Old school hip hop mainstream wave genre , marked disco influence party - oriented lyrics . 1980s marked diversification hip hop genre developed complex styles spread world . New school hip hop genre second wave , marked electro sound , led golden age hip hop , innovative period mid-1980s mid-1990s developed hip hop album era . gangsta rap subgenre , focused violent lifestyles impoverished conditions inner - city African American youth , gained popularity time . West Coast hip hop dominated G - funk early - mid 1990s , East Coast hip hop dominated jazz rap , alternative hip hop , hardcore rap . Hip hop continued diversify time regional styles emerging , Southern rap Atlanta hip hop . Hip hop best - selling genre mid-1990s - selling music genre 1999 . 
 popularity hip hop music continued late 1990s early-2000s "" bling era "" hip hop influences increasingly finding way genres popular music , neo soul , nu metal , R&B. United States saw success regional styles crunk , Southern genre emphasized beats music lyrics , alternative hip hop began secure place mainstream , crossover success artists . late 2000s early 2010s "" blog era "" , rappers able build following online methods music distribution , social media blogs , mainstream hip hop took melodic , sensitive direction following commercial decline gangsta rap . trap mumble rap subgenres popular form hip hop mid - late 2010s early 2020s . 2017 , rock music usurped hip hop popular genre United States ."
trap latino,
pop rap,"Pop rap ( known pop hip - hop , hip pop , melodic hip - hop melodic rap ) genre music fusing rhythm - based lyricism hip hop music pop music preference melodious vocals catchy tunes . genre gained mainstream popularity 1990s , influences roots pop rap trace late-1980s hip hop artists Run - DMC , LL Cool J , Beastie Boys . lyrics lighthearted , choruses similar heard pop music . 

"
reggaeton,"Reggaeton ( UK : , : ) , known reggaetón reguetón ( Spanish : [ reɣeˈton ] ) , music style Puerto Rico influenced Reggae en Español Panama , Hip Hop , Dancehall , Bomba Plena .   evolved dancehall influenced American hip hop , Latin American , Caribbean music . Vocals include rapping singing , typically Spanish . 
 Reggaeton regarded popular music genres Spanish - speaking Caribbean , including Puerto Rico , Panama , Dominican Republic , Cuba , Colombia , Venezuela . 2010s , genre seen increased popularity Latin America , acceptance mainstream Western music ."
edm,EDM E - DM refer :
modern rock,"Modern rock umbrella term describe rock music found college rock radio stations . radio stations use term distinguish classic rock , based 1960s–1980s rock music ."
